A,B
9.386668,175
9.402029,175
9.417335,175
9.433169,175
9.448163,175
9.463429,175
9.478236,175
9.494928,175
9.510083,175
9.52481,175
9.540532,175
9.555204,175
9.570223,175
9.587225,175
9.604058,175
9.61962,175
9.634526,175
9.650924,175
9.666075,175
9.680538,175
9.695593,175
9.710432,175
9.725754,175
9.74164,175
9.756941,175
9.771745,175
9.786861,175
9.803266,175
9.818633,175
9.833586,175
9.848301,175
9.863418,175
9.878489,175
9.893697,175
9.909014,175
9.924053,175
9.938428,175
9.953883,175
9.968272,175
9.983176,175
9.998437,175
10.013686,175
10.029121,175
10.043832,175
10.058944,175
10.07423,175
10.08922,175
10.104304,175
10.119394,175
10.134411,175
10.149479,175
10.164762,175
10.179269,175
10.194458,175
10.209451,175
10.224546,175
10.23949,175
10.254386,175
10.269421,175
10.284581,175
10.299731,175
10.314788,175
10.32937,175
10.344237,175
10.360894,175
10.375895,175
10.390937,175
10.405782,175
10.420331,175
10.436289,175
10.452827,175
10.468374,175
10.483669,175
10.499914,175
10.515464,175
10.530845,175
10.545792,175
10.560781,175
10.576037,175
10.590741,175
10.606758,175
10.622027,175
10.636579,175
10.651569,175
10.666566,175
10.681773,175
10.696481,175
